34.70	700
35.33	708
35.98	736
36.09	676
36.23	636
37.42	732
37.50	556
37.68	764
37.89	724
38.07	596
38.29	640
38.31	756
38.35	792
38.60	780
38.80	16
38.97	728
39.06	604
39.41	696
39.45	760
39.61	664
39.69	644
39.70	572
39.76	628
39.85	748
39.91	584
39.97	552
40.01	560
40.06	680
40.11	692
40.20	720
40.36	776
40.44	540
40.57	624
40.68	620
40.73	716
40.75	576
40.78	744
40.79	688
40.92	804
41.08	752
41.09	772
41.43	12
41.50	768
41.52	608
41.59	712
41.73	704
41.87	800
41.99	808
42.00	100
42.04	580
42.05	588
42.18	592
42.52	600
42.65	740
42.66	660
42.71	616
43.05	88
43.06	564
43.08	668
43.13	160
43.22	784
43.39	612
43.44	568
43.48	652
43.63	140
43.66	788
43.82	684
43.85	544
44.03	136
44.33	80
44.75	632
44.76	648
45.14	548
45.15	68
45.33	148
46.33	60
46.51	656
46.92	796
47.08	8
47.30	48
47.38	76
47.42	672
48.05	72
48.48	108
48.68	92
50.23	144
52.13	96
52.18	56
52.55	120
52.95	40
53.15	52
53.63	224
53.85	112
53.98	204
55.25	100
55.73	88
55.78	116
56.08	212
56.10	216
56.23	80
56.65	84
56.80	128
57.18	68
57.30	36
57.80	104
57.95	64
58.13	60
58.90	48
58.93	76
59.05	20
59.20	4
59.23	16
59.30	192
59.45	132
59.45	236
59.50	72
59.53	232
59.60	108
59.70	196
59.83	12
60.08	92
60.35	244
60.68	184
61.20	24
61.89	334
62.48	208
62.70	228
62.78	200
62.93	220
63.25	252
63.28	256
63.65	172
63.70	176
64.19	350
64.20	224
64.55	204
64.67	294
64.94	518
64.98	248
65.05	514
65.78	188
65.95	152
66.19	398
66.35	148
66.40	240
66.42	538
66.45	394
66.53	164
66.68	470
66.75	212
66.75	216
66.88	140
66.90	156
67.00	160
67.10	136
67.17	314
67.30	458
67.33	168
67.35	522
67.47	390
67.66	358
68.07	322
68.25	24
68.37	342
68.62	378
68.66	286
68.76	450
69.20	16
69.34	498
69.36	366
70.09	306
70.19	274
70.21	494
70.23	474
71.14	506
71.19	446
71.57	490
71.58	4
72.14	270
72.18	530
72.21	318
72.33	534
72.36	382
72.63	462
72.67	326
72.96	346
73.07	362
73.29	278
73.83	8
73.86	454
74.73	310
75.08	510
75.11	374
75.34	386
75.52	302
75.63	354
75.74	502
76.23	252
76.25	256
76.45	172
76.48	176
76.74	330
76.95	0
77.40	248
77.45	338
77.54	290
77.66	466
78.08	188
78.12	298
78.30	20
78.49	402
78.53	442
78.60	240
78.64	370
79.91	526
80.57	478
80.86	282
81.35	12
81.65	32
82.41	486
82.78	28
83.02	482
105.25	926
116.29	962
118.23	966
118.35	842
119.29	894
122.80	822
122.83	818
125.54	958
125.72	1050
125.85	12
125.90	8
127.14	834
127.48	974
128.99	1046
131.30	148
132.53	236
133.28	994
133.72	810
133.97	942
135.43	870
135.47	1014
135.90	1022
136.00	990
137.13	184
137.18	862
137.18	954
137.22	1062
137.45	60
137.48	204
137.61	934
137.62	866
138.45	212
138.57	826
138.90	930
139.04	874
139.36	1054
140.25	56
140.79	1038
141.00	52
141.66	906
141.79	1030
141.88	16
142.15	120
142.20	882
143.23	244
143.39	1034
143.83	830
144.43	96
144.45	240
144.48	72
144.52	1070
144.54	886
144.73	970
145.43	224
145.90	858
145.90	814
146.56	986
146.58	76
147.65	48
147.70	68
147.85	184
148.25	252
148.73	846
148.93	228
149.50	1078
149.91	982
149.93	220
150.18	36
150.28	80
150.75	88
151.64	898
151.68	92
151.82	1010
151.88	8
151.90	12
152.29	950
152.40	100
152.53	910
152.68	60
152.70	112
152.73	838
153.03	40
153.08	4
153.14	998
153.17	978
153.24	914
153.45	244
153.67	1058
154.08	180
154.11	1002
154.68	160
154.79	938
155.15	140
155.20	144
155.48	164
155.58	1066
155.73	216
155.75	1006
156.45	850
156.95	196
157.90	176
158.20	192
158.58	902
159.30	854
159.35	946
160.45	200
161.38	172
164.35	252
164.90	228
165.78	220
166.78	256
166.80	1042
167.93	180
167.93	1026
168.01	1074
168.31	922
169.42	878
169.53	192
33.68	589
35.09	657
35.36	553
35.93	741
36.43	49
36.54	709
37.02	637
37.06	661
37.12	625
37.18	13
37.20	769
37.27	569
37.55	641
37.87	765
38.16	593
38.49	737
38.52	609
38.90	677
38.93	665
38.98	757
